Year,Month,monthly_Anomaly,monthly_Unc.,annual_Anomaly,annual_Unc.,five_yr_Anomaly,five_year_Unc.,ten_yr_Anomaly,ten_yr_Unc.,twenty_yr_Anomaly,twenty_yr_Unc.
1850,1,-0.753,0.365,nan,nan,nan,nan,nan,nan,nan,nan
1850,2,-0.202,0.416,nan,nan,nan,nan,nan,nan,nan,nan
1850,3,-0.367,0.373,nan,nan,nan,nan,nan,nan,nan,nan
1850,4,-0.596,0.324,nan,nan,nan,nan,nan,nan,nan,nan
1850,5,-0.619,0.267,nan,nan,nan,nan,nan,nan,nan,nan
1850,6,-0.332,0.308,-0.436,0.17,nan,nan,nan,nan,nan,nan
1850,7,-0.151,0.249,-0.386,0.176,nan,nan,nan,nan,nan,nan
1850,8,-0.149,0.341,-0.403,0.166,nan,nan,nan,nan,nan,nan
1850,9,-0.416,0.237,-0.418,0.172,nan,nan,nan,nan,nan,nan
1850,10,-0.59,0.237,-0.421,0.187,nan,nan,nan,nan,nan,nan
1850,11,-0.572,0.317,-0.396,0.2,nan,nan,nan,nan,nan,nan
1850,12,-0.481,0.312,-0.389,0.195,nan,nan,nan,nan,nan,nan
1851,1,-0.159,0.389,-0.392,0.194,nan,nan,nan,nan,nan,nan
1851,2,-0.402,0.351,-0.405,0.191,nan,nan,nan,nan,nan,nan
1851,3,-0.55,0.331,-0.402,0.196,nan,nan,nan,nan,nan,nan
1851,4,-0.626,0.45,-0.365,0.211,nan,nan,nan,nan,nan,nan
1851,5,-0.326,0.445,-0.349,0.235,nan,nan,nan,nan,nan,nan
1851,6,-0.24,0.217,-0.321,0.259,nan,nan,nan,nan,nan,nan
1851,7,-0.198,0.221,-0.327,0.275,nan,nan,nan,nan,nan,nan
1851,8,-0.295,0.282,-0.336,0.29,nan,nan,nan,nan,nan,nan
1851,9,-0.387,0.295,-0.351,0.3,nan,nan,nan,nan,nan,nan
1851,10,-0.144,0.352,-0.342,0.288,nan,nan,nan,nan,nan,nan
1851,11,-0.377,0.438,-0.327,0.285,nan,nan,nan,nan,nan,nan
1851,12,-0.145,0.409,-0.315,0.294,nan,nan,nan,nan,nan,nan
1852,1,-0.239,0.515,-0.301,0.296,nan,nan,nan,nan,nan,nan
1852,2,-0.506,0.458,-0.304,0.286,nan,nan,nan,nan,nan,nan
1852,3,-0.725,0.447,-0.297,0.285,nan,nan,nan,nan,nan,nan
1852,4,-0.526,0.359,-0.298,0.271,nan,nan,nan,nan,nan,nan
1852,5,-0.146,0.426,-0.311,0.266,nan,nan,nan,nan,nan,nan
1852,6,-0.099,0.299,-0.292,0.249,-0.325,0.173,nan,nan,nan,nan
1852,7,-0.02,0.24,-0.294,0.242,-0.314,0.177,nan,nan,nan,nan
1852,8,-0.336,0.236,-0.281,0.241,-0.312,0.171,nan,nan,nan,nan
1852,9,-0.299,0.255,-0.254,0.222,-0.31,0.169,nan,nan,nan,nan
1852,10,-0.162,0.232,-0.233,0.231,-0.302,0.163,nan,nan,nan,nan
1852,11,-0.536,0.366,-0.242,0.225,-0.295,0.163,nan,nan,nan,nan
1852,12,0.087,0.33,-0.247,0.224,-0.295,0.161,nan,nan,nan,nan
1853,1,-0.266,0.445,-0.242,0.213,-0.298,0.16,nan,nan,nan,nan
1853,2,-0.346,0.496,-0.217,0.212,-0.3,0.156,nan,nan,nan,nan
1853,3,-0.396,0.257,-0.225,0.204,-0.301,0.154,nan,nan,nan,nan
